row,study_author,pmid,year,age,older_women,ui_type,followup,n1,n2,N1,N2,granular_trt_code1,granular_trt_code2,coarse_trt_code1,coarse_trt_code2,trt_description1,trt_description2,outcome,combined,randomization_sequence,blinding_of_patients,blinding_of_assessors,intention_to_treat,attrition_bias,selection_bias,interventions_described,intervention_compliance,other_issues,allocation_concealment,to_flip,or_string,counts_string,coarse_comparison_string,granular_comparison_string
1,Golmakani,24498480,2014,45.5,0,sui,3,2,3,26,25,T1,T4+T9,T,T,bladder training,"pfmt (pelvic floor muscle therapy), weights",ui,Golmakani 2014 24498480,Low,High,Low,High,High,Low,Yes,High,No,High,0,"0.61 (0.09, 4.01)",2/26 vs 3/25,H vs H,H1 vs H4+H9
2,Amundsen,27701661,2016,63,0,uui,6,64,68,190,174,B1,N2,B,N,botox,interstim,ui,Amundsen 2016 27701661,Low,High,High,Low,Low,Low,Yes,Low,No,Low,0,"0.79 (0.52, 1.21)",64/190 vs 68/174,B vs G,B1 vs G2
3,Amundsen,27701661,2016,63,0,uui,6,113,89,190,174,B1,N2,B,N,botox,interstim,satisfaction,Amundsen 2016 27701661,Low,High,High,Low,Low,Low,Yes,Low,No,Low,0,"1.40 (0.93, 2.12)",113/190 vs 89/174,B vs G,B1 vs G2
4,Amundsen,27701661,2016,63,0,uui,6,26,2,127,99,B1,N2,B,N,botox,interstim,cure,Amundsen 2016 27701661,Low,High,High,Low,Low,Low,Yes,Low,No,Low,0,"12.49 (2.89, 54.03)",26/127 vs 2/99,B vs G,B1 vs G2
5,Amundsen,27701661,2016,63,0,uui,6,63,27,127,99,B1,N2,B,N,botox,interstim,improvement,Amundsen 2016 27701661,Low,High,High,Low,Low,Low,Yes,Low,No,Low,0,"2.62 (1.50, 4.61)",63/127 vs 27/99,B vs G,B1 vs G2
6,Kafri,23160873,2013,56.7,0,uui,48,6,11,24,35,C3,T1,C,T,tolterodine,bladder training,cure,Kafri 2013 23160873,Low,High,Low,Low,High,Low,Yes,High,No,Low,0,"0.73 (0.23, 2.34)",6/24 vs 11/35,A vs H,A3 vs H1
7,Kafri,23160873,2013,56.7,0,uui,48,6,24,24,59,C3,T4,C,T,tolterodine,pfmt (pelvic floor muscle therapy),cure,Kafri 2013 23160873,Low,High,Low,Low,High,Low,Yes,High,No,Low,0,"0.49 (0.17, 1.40)",6/24 vs 24/59,A vs H,A3 vs H4
8,Kafri,23160873,2013,56.7,0,uui,48,11,24,35,59,T1,T4,T,T,bladder training,pfmt (pelvic floor muscle therapy),cure,Kafri 2013 23160873,Low,High,Low,Low,High,Low,Yes,High,No,Low,0,"0.67 (0.28, 1.62)",11/35 vs 24/59,H vs H,H1 vs H4
9,Visco,23036134,2012,58,0,uui,6,13,26,119,112,C2,B1,C,B,solifenacin,botox,cure,Visco 2012 23036134,Low,Low,Low,Low,Low,Low,Yes,Low,No,Unclear,0,"0.41 (0.20, 0.84)",13/119 vs 26/112,A vs B,A2 vs B1
10,Visco,23036134,2012,58,0,uui,6,48,61,119,112,C2,B1,C,B,solifenacin,botox,improvement,Visco 2012 23036134,Low,Low,Low,Low,Low,Low,Yes,Low,No,Unclear,0,"0.57 (0.34, 0.95)",48/119 vs 61/112,A vs B,A2 vs B1
11,Gittelman,24231837,2014,57,0,0,3,24,15,96,112,C1,P1,C,P,oxybutynin,control,cure,Gittelman 2014 24231837,Low,Low,Low,Low,Low,Low,Yes,Low,No,Low,0,"2.16 (1.06, 4.40)",24/96 vs 15/112,A vs K,A1 vs K1
12,Sokol,24704117,2014,58.5,0,0,12,105,48,229,116,U1,U2,U,U,bulkamide,contigen,improvement,Sokol 2014 24704117,Low,Low,Unclear,Low,Low,Low,Yes,Low,No,Unclear,0,"1.20 (0.76, 1.88)",105/229 vs 48/116,I vs I,I1 vs I2
13,Sokol,24704117,2014,58.5,0,0,12,44,22,183,90,U1,U2,U,U,bulkamide,contigen,cure,Sokol 2014 24704117,Low,Low,Unclear,Low,Low,Low,Yes,Low,No,Unclear,0,"0.98 (0.54, 1.76)",44/183 vs 22/90,I vs I,I1 vs I2
14,Wiegersma,25533442,2014,64.25,1,0,3,70,10,115,124,T4,P1,T,P,pfmt (pelvic floor muscle therapy),control,improvement,Wiegersma 2014 25533442,Low,Low,Unclear,Low,High,Low,Yes,Low,No,Low,0,"17.73 (8.40, 37.43)",70/115 vs 10/124,H vs K,H4 vs K1
15,Capobianco,21706345,2012,57.8,1,sui,6,93,22,103,103,H1,H1+N4+T4,H,H+N+T,vaginal estrogen,"vaginal estrogen, pfmt, tens",ui,Capobianco 2012 21706345,Low,High,High,Low,Low,Low,Yes,Low,No,Low,0,"34.24 (15.31, 76.56)",93/103 vs 22/103,C vs C+G+H,C1 vs C1+G4+H4
16,Capobianco,21706345,2012,57.8,1,sui,6,10,61,103,83,H1,H1+N4+T4,H,H+N+T,vaginal estrogen,"vaginal estrogen, pfmt, tens",improvement,Capobianco 2012 21706345,Low,High,High,Low,Low,Low,Yes,Low,No,Low,0,"0.04 (0.02, 0.09)",10/103 vs 61/83,C vs C+G+H,C1 vs C1+G4+H4
17,Rovner,23796570,2013,52.6,0,sui,6,43,15,66,49,V1,P1,V,P,intravessical pressure release,control,improvement,Rovner 2013 23796570,Low,Low,Low,High,High,Low,Yes,Low,No,Low,0,"4.24 (1.92, 9.35)",43/66 vs 15/49,J vs K,J1 vs K1
18,Rovner,23796570,2013,52.6,0,sui,6,22,8,66,49,V1,P1,V,P,intravessical pressure release,control,cure,Rovner 2013 23796570,Low,Low,Low,High,High,Low,Yes,Low,No,Low,0,"2.56 (1.03, 6.39)",22/66 vs 8/49,J vs K,J1 vs K1
19,Kim,21545385,2011,76,1,0,3,1,12,34,35,T2,T4,T,T,education,pfmt (pelvic floor muscle therapy),cure,Kim 2011 21545385,Low,Low,High,High,Low,Low,Yes,Low,No,Low,0,"0.06 (0.01, 0.48)",1/34 vs 12/35,H vs H,H2 vs H4
20,Kim,21545385,2011,76,1,0,3,1,19,34,37,T2,T3+T4,T,T,education,"heat therapy, pfmt",cure,Kim 2011 21545385,Low,Low,High,High,Low,Low,Yes,Low,No,Low,0,"0.03 (0.00, 0.23)",1/34 vs 19/37,H vs H,H2 vs H3+H4
21,Kim,21545385,2011,76,1,0,3,1,8,34,37,T2,T3,T,T,education,heat therapy,cure,Kim 2011 21545385,Low,Low,High,High,Low,Low,Yes,Low,No,Low,0,"0.11 (0.01, 0.93)",1/34 vs 8/37,H vs H,H2 vs H3
22,Kim,21545385,2011,76,1,0,3,19,12,37,35,T3+T4,T4,T,T,"heat therapy, pfmt",pfmt (pelvic floor muscle therapy),cure,Kim 2011 21545385,Low,Low,High,High,Low,Low,Yes,Low,No,Low,0,"2.02 (0.78, 5.23)",19/37 vs 12/35,H vs H,H3+H4 vs H4
23,Kim,21545385,2011,76,1,0,3,8,12,37,35,T3,T4,T,T,heat therapy,pfmt (pelvic floor muscle therapy),cure,Kim 2011 21545385,Low,Low,High,High,Low,Low,Yes,Low,No,Low,0,"0.53 (0.19, 1.51)",8/37 vs 12/35,H vs H,H3 vs H4
24,Kim,21545385,2011,76,1,0,3,8,19,37,37,T3,T3+T4,T,T,heat therapy,"heat therapy, pfmt",cure,Kim 2011 21545385,Low,Low,High,High,Low,Low,Yes,Low,No,Low,0,"0.26 (0.09, 0.72)",8/37 vs 19/37,H vs H,H3 vs H3+H4
25,Oldham,23023996,2013,48.1,0,0,3,40,32,46,49,N4+T4,T4,N+T,T,"tens, pfmt",pfmt (pelvic floor muscle therapy),improvement,Oldham 2013 23023996,Low,High,Low,Unclear,High,Low,Yes,Low,No,Unclear,0,"3.54 (1.25, 10.02)",40/46 vs 32/49,G+H vs H,G4+H4 vs H4
26,Kaya,25266357,2015,48.7,0,0,1.5,40,33,56,52,T1,T1+T4,T,T,bladder training,"bladder training, pfmt",improvement,Kaya 2015 25266357,Low,High,High,Low,High,Low,Yes,Low,No,High,0,"1.44 (0.64, 3.23)",40/56 vs 33/52,H vs H,H1 vs H1+H4
27,Kaya,25266357,2015,48.7,0,0,1.5,3,23,56,52,T1,T1+T4,T,T,bladder training,"bladder training, pfmt",cure,Kaya 2015 25266357,Low,High,High,Low,High,Low,Yes,Low,No,High,0,"0.07 (0.02, 0.26)",3/56 vs 23/52,H vs H,H1 vs H1+H4
28,Lim,27871927,2017,45.6,0,sui,2,19,3,60,60,N3,P1,N,P,magnetic stimulation,control,cure,Lim 2017 27871927,Low,Low,Unclear,Low,Low,Unclear,Yes,Low,No,Unclear,0,"8.80 (2.44, 31.73)",19/60 vs 3/60,G vs K,G3 vs K1
